股票代码,市盈率-动态,归母净利润增长率
873167,73.62,0.0
835305,-148.35,0.0
430300,-67.73,0.0
300478,-76.23,0.0
300287,-62.39,0.0
300153,202.85,0.0
688393,60.63,0.0
301230,253.7,0.0
688435,-101.19,0.0
300251,165.8,0.0
300454,-57.64,0.0
688315,39.7,0.0
301602,91.7,0.0
301459,26.06,0.0
300530,-22.12,0.0
301585,36.93,0.0
300816,44.21,0.0
688358,29.13,0.0
300212,-26.01,0.0
301396,-121.43,21.502000000000002
688246,-88.88,21.0015
688225,-41.5,20.5015
300078,-13.63,19.9985
300244,64.98,19.944
300253,132.2,19.872
688244,-138.26,19.732499999999998
835207,-72.78,19.5825
688196,40.49,19.4015
688229,-38.48,19.194
688590,165.48,18.9495
688031,-20.42,18.697499999999998
430198,-32.54,18.423000000000002
300226,56.25,18.148000000000003
688158,-78.89,17.8665
832278,74.55,17.5815
688222,174.6,17.2895
870199,68.17,16.983
300676,-145.55,16.665
688369,-26.6,16.337
839680,-48.03,15.993499999999997
300298,43.82,15.646
300220,2435.0,15.2895
688560,-161.65,14.930999999999997
300451,148.88,14.616999999999999
300725,47.7,14.315000000000001
688615,71.68,14.0605
688561,-16.78,13.796000000000001
688258,194.44,13.5625
300482,20.64,13.337
872925,-344.36,13.1435
301060,-82.9,12.9455
300168,-19.33,12.764
301486,97.15,12.577
688629,-334.0,12.388
301301,21.56,12.184999999999999
835670,-231.79,11.982499999999998
000785,35.55,11.7935
002030,-13.27,11.6155
600397,-20.52,11.447
600539,-228.34,11.294
002632,31.69,11.145
600734,200.72,11.005
603768,34.91,10.8705
603803,-72.71,10.739
002436,-505.64,10.613
002112,39.82,10.5075
603117,149.63,10.4225
601116,48.01,10.338
600602,124.7,10.272
002211,-72.93,10.211
000695,1002.72,10.162
603825,-14.01,10.119
002777,362.74,10.082
000710,297.17,10.0535
000503,-297.75,10.0425
600421,-368.94,10.038
002208,54.09,10.0345
600498,57.05,10.0315
000948,106.19,10.029
002254,44.25,10.0265
002123,450.95,10.024
601100,38.87,10.022
603990,-20.23,10.0205
002335,55.48,10.019
603918,-79.58,10.017999999999999
603108,197.43,10.017
000032,-161.57,10.0155
002261,2840.69,10.014
603956,-20.38,10.0125
603882,134.4,10.011
603881,145.69,10.01
603739,63.88,10.009
603039,175.54,10.008
603031,32.52,10.007000000000001
002929,40.29,10.006
002841,31.29,10.004999999999999
002990,49.35,10.0045
002095,-273.65,10.003499999999999
603636,-49.21,10.0025
000034,29.75,10.0015
002326,-73.99,10.000499999999999
603258,61.62,9.999500000000001
000880,39.6,9.9985
002313,-46.74,9.997
002044,774.67,9.995500000000002
601177,19.95,9.994
603086,284.49,9.992999999999999
603716,-24.8,9.992
603085,133.89,9.9905
600843,-213.09,9.989
600126,-63.16,9.9875
836547,29.48,9.986
600624,-125.0,9.984
002524,-76.8,9.9785
002622,145.64,9.9715
603171,118.31,9.964
300311,-43.33,9.9545
300288,109.66,9.944
300031,31.6,9.9315
301488,72.98,9.913
301565,60.11,9.8905
603759,19.02,9.867
300049,72.62,9.8415
835892,97.71,9.8145
300206,34.4,9.786
688691,88.17,9.754999999999999
300290,-1666.67,9.711500000000001
301087,24.03,9.6675
832149,-100.42,9.6175
688579,109.06,9.567
300341,63.63,9.514
603566,32.75,9.458
300051,-31.26,9.4
000818,411.29,9.3435
300733,98.99,9.288
600050,17.11,9.232
833230,51.94,9.1765
